target,pos,from,item_id,candids,definition
據云,D,CWN,D-04,"A.據云, B.得以, C.當庭, D.唯有",表後述消息是從他人那裡聽來的。
母,O,vec4gloss,O-19,"A.耕, B.喪, C.要不然, D.母",形容事物發生的來源。
中小,O,vec4gloss,O-23,"A.由, B.雙, C.新, D.中小",形容程度較低或範圍小。
盪,V,vec4gloss,V-24,"A.盪, B.植, C.聽天由命, D.滾滾",比喻情緒變得低落。
藥廠,N,ASBC,N-54,"A.藥廠, B.週六, C.福山, D.強棒",專門從事前述行業的商店。
機器,O,CWN,O-04,"A.像, B.先天, C.趁, D.機器",形容模仿後述生物或器官的外型或功能的自動機器。
核,N,vec4gloss,N-19,"A.櫻, B.核, C.先生, D.使",生物體內具有生命力的有機組織。
一窩蜂,D,ASBC,D-50,"A.同聲, B.何妨, C.方才, D.一窩蜂",比喻嗜好特定對象的怪獸。
那,N,CWN,N-01,"A.那, B.西, C.明, D.庖",根據說話者說話時所處的時空而言，指稱比較遠的後述對象。
二手,O,ASBC,O-52,"A.二手, B.箇中, C.些微, D.轉而",形容舊時已經使用過或看起來像已經使用過的。
偶然,D,CWN,D-02,"A.有得, B.及時, C.盲, D.偶然",表後述動作是不經刻意安排而發生。
仍舊,D,vec4gloss,D-14,"A.大聲, B.仍舊, C.惟獨, D.當中",表動作或情況持續不變。
才,D,vec4gloss,D-16,"A.才, B.窮, C.万, D.加",表前述事件為後述事件的充分條件，表示在該條件或情況下自然發展。
封閉性,N,ASBC,N-53,"A.牌樓, B.演進, C.大一, D.封閉性",形容比喻不侷限於狹小範圍，不與外界溝通。
尚且,D,ASBC,D-51,"A.未及, B.自古以來, C.尚且, D.百般",表動作或情況持續不變。
中上,O,ASBC,O-54,"A.像是, B.寬頻, C.沿著, D.中上",等級不在兩端的部份。
絕非,D,vec4gloss,D-22,"A.向來, B.一心一意, C.淺, D.絕非",表絕對不是。
正,D,vec4gloss,D-06,"A.另行, B.正, C.就近, D.勿",表順著特定對象進行後述事件。
麻,N,CWN,N-00,"A.誠, B.雜誌, C.蝶, D.麻",麻的味道，會使食用者暫時失去味覺。
